Currency,Date,Open,High,Low,Close,Volume,Market Cap
eos,4-Dec-19,2.7,2.74,2.6,2.65,"1,991,656,646","2,497,719,668"
eos,3-Dec-19,2.69,2.74,2.65,2.7,"1,391,933,885","2,549,066,942"
eos,2-Dec-19,2.78,2.8,2.66,2.69,"1,641,895,350","2,531,453,856"
eos,1-Dec-19,2.76,2.84,2.68,2.78,"1,792,147,034","2,618,290,742"
eos,30-Nov-19,2.8,2.83,2.74,2.76,"1,537,950,803","2,598,670,742"
eos,29-Nov-19,2.64,2.8,2.64,2.8,"1,899,935,358","2,636,173,142"
eos,28-Nov-19,2.69,2.76,2.62,2.64,"1,514,999,632","2,483,560,320"
eos,27-Nov-19,2.63,2.73,2.53,2.69,"2,247,567,344","2,532,133,843"
eos,26-Nov-19,2.53,2.65,2.53,2.63,"1,894,353,525","2,479,535,254"
eos,25-Nov-19,2.45,2.6,2.37,2.54,"3,240,749,705","2,387,930,189"
eos,24-Nov-19,2.72,2.73,2.45,2.45,"2,906,089,979","2,307,205,605"
eos,23-Nov-19,2.63,2.73,2.59,2.72,"2,021,876,981","2,564,872,526"
eos,22-Nov-19,2.83,2.85,2.51,2.63,"3,602,118,620","2,477,842,442"
eos,21-Nov-19,3.1,3.12,2.79,2.83,"2,542,236,471","2,659,185,420"
eos,20-Nov-19,3.15,3.18,3.09,3.1,"1,963,218,325","2,914,257,086"
eos,19-Nov-19,3.23,3.27,3.07,3.15,"2,304,230,672","2,965,681,898"
eos,18-Nov-19,3.42,3.46,3.15,3.23,"2,272,078,620","3,035,722,432"
eos,17-Nov-19,3.41,3.47,3.37,3.42,"1,573,105,687","3,218,347,132"
eos,16-Nov-19,3.34,3.41,3.33,3.41,"1,466,435,139","3,203,173,411"
eos,15-Nov-19,3.42,3.48,3.33,3.34,"2,058,586,140","3,145,080,225"
eos,14-Nov-19,3.48,3.49,3.39,3.42,"1,728,331,755","3,215,424,716"
eos,13-Nov-19,3.48,3.5,3.45,3.48,"1,828,134,783","3,271,483,468"
eos,12-Nov-19,3.45,3.53,3.43,3.48,"2,404,898,305","3,273,174,725"
eos,11-Nov-19,3.59,3.6,3.44,3.45,"2,044,553,191","3,240,138,787"
eos,10-Nov-19,3.49,3.61,3.48,3.58,"2,399,902,626","3,368,114,310"
eos,9-Nov-19,3.42,3.5,3.42,3.49,"1,937,769,184","3,277,616,855"
eos,8-Nov-19,3.5,3.55,3.39,3.42,"2,561,508,538","3,213,675,374"
eos,7-Nov-19,3.62,3.63,3.46,3.5,"2,352,629,788","3,283,847,627"
eos,6-Nov-19,3.62,3.67,3.57,3.62,"2,422,013,167","3,402,662,724"
eos,5-Nov-19,3.45,3.66,3.41,3.62,"3,098,696,039","3,398,966,741"
eos,4-Nov-19,3.29,3.48,3.26,3.45,"2,622,910,762","3,234,215,785"
eos,3-Nov-19,3.33,3.35,3.22,3.28,"1,747,407,101","3,083,125,737"
eos,2-Nov-19,3.35,3.39,3.31,3.33,"1,853,095,765","3,129,373,031"
eos,1-Nov-19,3.28,3.38,3.24,3.35,"2,155,169,872","3,147,694,261"
eos,31-Oct-19,3.3,3.37,3.2,3.28,"2,214,401,900","3,073,979,520"
eos,30-Oct-19,3.41,3.41,3.22,3.3,"2,485,786,630","3,093,636,013"
eos,29-Oct-19,3.29,3.45,3.29,3.41,"2,600,414,930","3,196,064,369"
eos,28-Oct-19,3.34,3.5,3.26,3.3,"3,132,020,604","3,092,271,494"
eos,27-Oct-19,3.14,3.44,3.09,3.34,"3,568,565,292","3,130,088,275"
eos,26-Oct-19,3.18,3.48,3.02,3.14,"4,412,536,644","2,940,437,151"
ethereum,4-Dec-19,147.92,150.68,145,146.75,"7,865,937,094","15,966,157,442"
ethereum,3-Dec-19,149.06,150.31,146,147.96,"6,204,379,850","16,095,928,402"
ethereum,2-Dec-19,151.18,152.12,147.61,149.06,"6,670,561,362","16,214,125,032"
ethereum,1-Dec-19,152.49,152.49,147.07,151.19,"7,102,780,298","16,443,650,814"
ethereum,30-Nov-19,155.29,156.69,151.23,152.54,"6,565,950,868","16,589,132,426"
ethereum,29-Nov-19,151.77,156.85,151.46,155.3,"7,503,898,278","16,887,922,522"
ethereum,28-Nov-19,153.07,156.61,151.09,151.72,"7,346,531,960","16,496,129,470"
ethereum,27-Nov-19,148.4,154.89,143.53,153.01,"8,778,095,308","16,634,910,472"
ethereum,26-Nov-19,146.4,150,145.22,148.97,"7,648,516,297","16,193,326,033"
ethereum,25-Nov-19,142.7,150.21,133.8,146.48,"10,962,753,356","15,921,080,564"
ethereum,24-Nov-19,153.43,153.97,142.83,142.83,"7,782,769,098","15,523,459,920"
ethereum,23-Nov-19,150.21,154.1,147.6,153.42,"8,289,198,330","16,671,705,910"
ethereum,22-Nov-19,161.51,163.03,142.34,150.27,"12,020,749,863","16,327,536,038"
ethereum,21-Nov-19,175.67,176.21,159.37,161.46,"8,546,371,325","17,541,867,626"
ethereum,20-Nov-19,177.42,178.99,175.29,175.7,"7,205,785,149","19,086,228,092"
ethereum,19-Nov-19,180.5,182.53,175.2,177.46,"7,536,699,743","19,274,876,583"
ethereum,18-Nov-19,185.04,186.93,179.18,180.56,"7,787,662,111","19,609,782,345"
ethereum,17-Nov-19,183.35,188.19,182.34,185.12,"7,364,325,471","20,102,654,601"
ethereum,16-Nov-19,180.5,184.16,179.99,183.35,"6,789,888,120","19,908,020,821"
ethereum,15-Nov-19,186.06,186.25,179.38,180.52,"8,815,678,477","19,598,770,324"
ethereum,14-Nov-19,188.27,188.63,184.99,186,"7,872,664,470","20,191,206,220"
ethereum,13-Nov-19,186.94,189.33,185.94,188.26,"7,343,173,596","20,434,064,781"
ethereum,12-Nov-19,185.56,187.95,184.19,186.84,"7,792,186,666","20,278,071,676"
ethereum,11-Nov-19,189.5,190.34,185.09,185.49,"7,877,424,106","20,128,792,760"
ethereum,10-Nov-19,184.94,190.92,184.69,189.48,"8,752,784,211","20,559,121,065"
ethereum,9-Nov-19,184.31,185.84,183.9,185.03,"7,277,418,704","20,074,095,541"
ethereum,8-Nov-19,187.92,188.82,182.54,184.21,"9,176,780,911","19,983,058,356"
ethereum,7-Nov-19,191.5,191.86,186.57,187.98,"9,081,247,799","20,389,037,934"
ethereum,6-Nov-19,189.11,193.55,188.67,191.59,"10,156,458,684","20,778,894,603"
ethereum,5-Nov-19,186.31,191.26,184.33,189.3,"10,024,177,342","20,528,094,420"
ethereum,4-Nov-19,182.32,188.02,181.82,186.36,"10,551,917,945","20,205,859,402"
ethereum,3-Nov-19,183.99,185.02,179.82,182.43,"8,760,247,744","19,777,347,724"
ethereum,2-Nov-19,184.02,185.71,182.8,183.93,"8,087,991,830","19,937,622,287"
ethereum,1-Nov-19,183.8,185.06,181.09,183.97,"9,145,611,130","19,940,014,311"
ethereum,31-Oct-19,184.8,188.75,180.07,183.97,"9,607,939,606","19,937,256,794"
ethereum,30-Oct-19,190.34,191.11,181.55,184.69,"10,484,902,804","20,013,431,227"
ethereum,29-Oct-19,182.67,191.85,182.36,190.34,"10,622,761,958","20,623,205,054"
ethereum,28-Oct-19,184.4,187.88,180.25,182.66,"10,406,734,124","19,788,729,316"
ethereum,27-Oct-19,179.93,188.16,177.68,184.24,"10,815,941,952","19,957,408,085"
ethereum,26-Oct-19,181.67,195.94,176.13,179.84,"13,831,784,986","19,477,741,705"
ethereum,25-Oct-19,162.19,183,161.97,181.52,"10,358,594,018","19,658,140,299"
